timestamp,sample_index,CH1,CH2,CH3,CH4,trigger
2025-10-20T13:46:32.522361,407,7348,-9154,1419,7378,0
2025-10-20T13:46:32.522364,408,2354,-3417,667,2362,0
2025-10-20T13:46:32.522366,409,36,-319,20,35,0
2025-10-20T13:46:32.522369,410,689,-2002,470,697,0
2025-10-20T13:46:32.522371,411,4645,-6450,1325,4663,0
2025-10-20T13:46:32.522374,412,7334,-9137,1427,7358,0
2025-10-20T13:46:32.522376,413,2395,-3488,689,2403,0
2025-10-20T13:46:32.522379,414,40,-375,23,39,0
2025-10-20T13:46:32.522381,415,707,-2067,464,715,0
2025-10-20T13:46:32.522383,416,4769,-6575,1332,4787,0
2025-10-20T13:46:32.522386,417,7383,-9192,1439,7410,0
2025-10-20T13:46:32.522388,418,2466,-3598,718,2474,0
2025-10-20T13:46:32.522391,419,54,-448,34,54,0
2025-10-20T13:46:32.522395,420,825,-2261,558,834,0
2025-10-20T13:46:32.522397,421,4778,-6586,1368,4794,0
2025-10-20T13:46:32.522399,422,7371,-9175,1447,7392,0
2025-10-20T13:46:32.522402,423,2507,-3654,734,2515,0
2025-10-20T13:46:32.522404,424,54,-433,33,53,0
2025-10-20T13:46:32.634803,425,7550,-9384,1457,7596,0
2025-10-20T13:46:32.634816,426,2641,-3874,769,2652,0
2025-10-20T13:46:32.634819,427,71,-608,45,71,0
2025-10-20T13:46:32.634822,428,859,-2350,580,868,0
2025-10-20T13:46:32.634825,429,4906,-6718,1388,4925,0
2025-10-20T13:46:32.634828,430,7319,-9129,1456,7347,0
2025-10-20T13:46:32.634831,431,2408,-3539,717,2416,0
2025-10-20T13:46:32.634833,432,59,-534,40,59,0
2025-10-20T13:46:32.634836,433,942,-2466,631,952,0
2025-10-20T13:46:32.634839,434,4973,-6785,1404,4991,0
2025-10-20T13:46:32.634841,435,7278,-9084,1461,7303,0
2025-10-20T13:46:32.634844,436,2372,-3491,715,2380,0
2025-10-20T13:46:32.634846,437,50,-460,33,50,0
2025-10-20T13:46:32.634849,438,834,-2296,565,843,0
2025-10-20T13:46:32.634852,439,4810,-6618,1390,4826,0
2025-10-20T13:46:32.634855,440,7224,-9024,1466,7243,0
2025-10-20T13:46:32.634858,441,2369,-3490,717,2376,0
2025-10-20T13:46:32.634860,442,57,-485,40,57,0
2025-10-20T13:46:32.634863,443,941,-2429,638,951,0
2025-10-20T13:46:32.634866,444,4909,-6719,1414,4925,0
2025-10-20T13:46:32.634868,445,7344,-9149,1475,7366,0
2025-10-20T13:46:32.634871,446,2458,-3606,738,2465,0
2025-10-20T13:46:32.634873,447,57,-555,38,57,0
2025-10-20T13:46:32.634876,448,877,-2407,588,886,0
2025-10-20T13:46:32.634879,449,4962,-6776,1410,4982,0
2025-10-20T13:46:32.724558,450,94,-784,74,95,0
2025-10-20T13:46:32.724571,451,1256,-2885,821,1267,0
2025-10-20T13:46:32.724574,452,5247,-7058,1463,5262,0
2025-10-20T13:46:32.724577,453,7319,-9119,1487,7337,0
2025-10-20T13:46:32.724580,454,2389,-3516,729,2396,0
2025-10-20T13:46:32.724582,455,52,-508,35,53,0
2025-10-20T13:46:32.724585,456,854,-2359,587,863,0
2025-10-20T13:46:32.724587,457,4871,-6681,1421,4887,0
2025-10-20T13:46:32.724590,458,7183,-8986,1491,7204,0
2025-10-20T13:46:32.724592,459,2329,-3454,729,2336,0
2025-10-20T13:46:32.724595,460,49,-450,32,49,0
2025-10-20T13:46:32.724597,461,809,-2260,556,818,0
2025-10-20T13:46:32.724600,462,4873,-6685,1413,4892,0
2025-10-20T13:46:32.724602,463,7298,-9106,1490,7328,0
2025-10-20T13:46:32.724604,464,2329,-3418,704,2336,0
2025-10-20T13:46:32.724607,465,43,-497,28,42,0
2025-10-20T13:46:32.724609,466,786,-2293,545,795,0
2025-10-20T13:46:32.724671,467,4793,-6604,1412,4810,0
2025-10-20T13:46:32.724675,468,7204,-9005,1500,7224,0
2025-10-20T13:46:32.724678,469,2327,-3435,727,2334,0
2025-10-20T13:46:32.724680,470,49,-533,33,49,0
2025-10-20T13:46:32.724683,471,828,-2356,567,838,0
2025-10-20T13:46:32.724685,472,4854,-6666,1424,4872,0
2025-10-20T13:46:32.724688,473,7212,-9014,1502,7235,0
2025-10-20T13:46:32.724690,474,2288,-3373,710,2296,0
2025-10-20T13:46:32.874750,475,5161,-6986,1442,5191,0
2025-10-20T13:46:32.874765,476,7615,-9466,1520,7678,0
2025-10-20T13:46:32.874769,477,2535,-3704,771,2546,0
